Date,Coin,Qty,Side,Price,Note
03/08 03:22:53,KRW-NEAR,1.54710502,sell,12060.0,Sell-4: 12086<12291and12070.0<12086
03/08 03:23:08,KRW-NEAR,0.8298755186721992,buy,12050.0,Bollinger Band Upper
03/08 03:23:21,KRW-NEAR,1.54557142,sell,12040.0,Sell-4: 12082<12290and12060.0<12082
03/08 03:23:36,KRW-NEAR,0.8298755186721992,buy,12050.0,Bollinger Band Upper
03/08 03:23:48,KRW-NEAR,1.54275906,sell,12040.0,Sell-4: 12082<12290and12050.0<12082
03/08 03:24:05,KRW-NEAR,0.8305647840531561,buy,12040.0,Bollinger Band Upper
03/08 03:24:18,KRW-NEAR,1.53995651,sell,12040.0,Sell-4: 12082<12290and12050.0<12082
03/08 03:24:33,KRW-NEAR,0.8298755186721992,buy,12050.0,Bollinger Band Upper
03/08 03:24:46,KRW-NEAR,1.53715331,sell,12050.0,Sell-4: 12084<12290and12050.0<12084
03/08 03:25:02,KRW-NEAR,0.8298755186721992,buy,12050.0,Bollinger Band Upper
03/08 03:25:14,KRW-NEAR,1.53435521,sell,12040.0,Sell-4: 12064<12270and12050.0<12064
03/08 03:25:30,KRW-NEAR,0.8298755186721992,buy,12050.0,Bollinger Band Upper
03/08 03:25:43,KRW-NEAR,1.53029225,sell,12050.0,Sell-4: 12064<12270and12060.0<12064
03/08 03:25:58,KRW-NEAR,0.8291873963515755,buy,12060.0,Bollinger Band Upper
03/08 03:26:12,KRW-NEAR,1.52498127,sell,12040.0,Sell-4: 12064<12270and12060.0<12064
03/08 03:26:27,KRW-NEAR,0.8305647840531561,buy,12040.0,Bollinger Band Upper
03/08 03:26:41,KRW-NEAR,1.52095451,sell,12030.0,Sell-4: 12062<12269and12040.0<12062
03/08 03:26:57,KRW-NEAR,0.831946755407654,buy,12020.0,Bollinger Band Upper
03/08 03:27:10,KRW-NEAR,1.51819624,sell,12030.0,Sell-4: 12062<12269and12050.0<12062
03/08 03:27:25,KRW-NEAR,0.831946755407654,buy,12020.0,Bollinger Band Upper
03/08 03:27:38,KRW-NEAR,1.51669132,sell,12020.0,Sell-4: 12060<12268and12030.0<12060
03/08 03:27:53,KRW-NEAR,0.8291873963515755,buy,12060.0,Bollinger Band Upper
03/08 03:28:05,KRW-NEAR,1.50891122,sell,12030.0,Sell-4: 12062<12269and12060.0<12062
03/08 03:28:20,KRW-NEAR,0.8305647840531561,buy,12040.0,Bollinger Band Upper
03/08 03:28:33,KRW-NEAR,1.5049269,sell,12040.0,Sell-4: 12064<12270and12060.0<12064
03/08 03:28:49,KRW-NEAR,0.8305647840531561,buy,12040.0,Bollinger Band Upper
