,open,high,low,close,volume,value
2022-02-23 06:30:00,159.0,160.0,158.0,158.0,3903905.00464497,620666099.12182
2022-02-23 07:00:00,158.0,160.0,158.0,159.0,3628566.1200238,576561385.2814599
2022-02-23 07:30:00,158.0,159.0,157.0,158.0,5040738.55380381,797254958.668757
2022-02-23 08:00:00,158.0,160.0,158.0,159.0,7645039.36046558,1215725490.646706
2022-02-23 08:30:00,159.0,161.0,159.0,160.0,14950759.31836941,2389092609.031781
2022-02-23 09:00:00,160.0,161.0,159.0,160.0,12776135.83188779,2044862625.1825526
2022-02-23 09:30:00,159.0,160.0,158.0,159.0,9527168.88810293,1515326871.9591498
2022-02-23 10:00:00,159.0,160.0,159.0,160.0,3504605.03127179,557691316.5135214
2022-02-23 10:30:00,160.0,160.0,158.0,158.0,3359069.35025012,532911041.68073577
2022-02-23 11:00:00,159.0,161.0,158.0,160.0,7603605.8907351,1213174248.7509298
